rev_eta,rev_p,X,new_chi,phi
0.2,0.2,0.01,0.7323965956517463,0.0578396284228007
0.2,0.2,0.01,0.9528100764402322,0.08160935218014176
0.2,0.1,0.01,0.27257852872636334,0.04440650690945622
0.2,0.1,0.01,0.3806374813911895,0.051808477515481795
0.2,0.1,0.01,0.5024875621890548,0.06499609205299477
0.2,0.1,0.01,0.6243376429869201,0.08705973621265034
0.2,0.1,0.01,0.7323965956517463,0.1107490563991309
0.2,0.1,0.01,0.9528100764402322,0.17456605629682326
0.2,0.05,0.01,0.27257852872636334,0.04446795824417474
0.2,0.05,0.01,0.3806374813911895,0.054106278368689545
0.2,0.05,0.01,0.5024875621890548,0.0826472337083779
0.2,0.05,0.01,0.6243376429869201,0.17068506848891618
0.2,0.05,0.01,0.7323965956517463,0.23270539981464666
0.2,0.05,0.01,0.9528100764402322,0.37550893396666374
0.2,0.025,0.01,0.27257852872636334,0.044032111581003223
0.2,0.025,0.01,0.3806374813911895,0.05415633265373665
0.2,0.025,0.01,0.5024875621890548,0.09308096580685948
0.2,0.025,0.01,0.6243376429869201,0.2996528102189704
0.2,0.025,0.01,0.7323965956517463,0.4232631253667522
0.2,0.025,0.01,0.9528100764402322,0.7340536768592889
0.1111111111111111,1.0,0.01,0.27257852872636334,0.01976831955374278
0.1111111111111111,1.0,0.01,0.3806374813911895,0.020236954564487097
0.1111111111111111,1.0,0.01,0.5024875621890548,0.020735051875464632
0.1111111111111111,1.0,0.01,0.6243376429869201,0.021264483711188713
0.1111111111111111,1.0,0.01,0.7323965956517463,0.021827021948404336
0.1111111111111111,1.0,0.01,0.9528100764402322,0.02443433165884725
0.1111111111111111,0.5,0.01,0.27257852872636334,0.024276048114151762
0.1111111111111111,0.5,0.01,0.3806374813911895,0.025135276872545964
0.1111111111111111,0.5,0.01,0.5024875621890548,0.02608244715824423
0.1111111111111111,0.5,0.01,0.6243376429869201,0.027127712529638283
0.1111111111111111,0.5,0.01,0.7323965956517463,0.02828122661225113
0.1111111111111111,0.5,0.01,0.9528100764402322,0.0341187686582469
0.1111111111111111,0.2,0.01,0.27257852872636334,0.033432511356365886
0.1111111111111111,0.2,0.01,0.3806374813911895,0.03643036069885214
0.1111111111111111,0.2,0.01,0.5024875621890548,0.040208336292268713
0.1111111111111111,0.2,0.01,0.6243376429869201,0.0448968150080717
0.1111111111111111,0.2,0.01,0.7323965956517463,0.0505109976415227
0.1111111111111111,0.2,0.01,0.9528100764402322,0.0782156733338374
0.1111111111111111,0.1,0.01,0.27257852872636334,0.03695583657212276
0.1111111111111111,0.1,0.01,0.3806374813911895,0.04383314638410456
0.1111111111111111,0.1,0.01,0.5024875621890548,0.05708739529924116
0.1111111111111111,0.1,0.01,0.6243376429869201,0.0787530549249777
0.1111111111111111,0.1,0.01,0.7323965956517463,0.10074842111021995
0.1111111111111111,0.1,0.01,0.9528100764402322,0.17545418971405657
0.1111111111111111,0.05,0.01,0.27257852872636334,0.03682269462202832
0.1111111111111111,0.05,0.01,0.3806374813911895,0.04518026471194169
0.1111111111111111,0.05,0.01,0.5024875621890548,0.07391959209110763
0.1111111111111111,0.05,0.01,0.6243376429869201,0.15834928849501556
0.1111111111111111,0.05,0.01,0.7323965956517463,0.21910382540926576
0.1111111111111111,0.05,0.01,0.9528100764402322,0.37929288751965273
0.1111111111111111,0.025,0.01,0.27257852872636334,0.03641655103117724
0.1111111111111111,0.025,0.01,0.3806374813911895,0.044983839578201144
0.1111111111111111,0.025,0.01,0.5024875621890548,0.08219645963727948
